ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung [erschlossen],Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
65,SZ-AAP/W-AA107.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Der Kampf um den Suezkanal.,,,,,N Fr Presse,"Kampf um den Suezkanal, Der",18/XI 1914.,,,1914-11-18,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 18. 11. 1914, S. 1-3",,,,,http://d-nb.info/gnd/1047605287,,,
66,SZ-AAP/W-AA108.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kaßner, Rudolf",,,,,,"Kaßner, Rudolf",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Kassner, Rudolf",http://d-nb.info/gnd/118560492,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Rudolf Kassner""",,
67,SZ-AAP/W-AA108.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Rudolf Kaßner, Der Tod und die Maske.",,,,,,"Kaßner, Rudolf",5/VII. 1902.,,,1902-07-05,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Hamburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Hamburger Zeitung, Hamburg, 5. 7. 1902","Kassner, Rudolf",http://d-nb.info/gnd/118560492,Der Tod und die Maske. Gleichnisse,https://d-nb.info/997798211,http://d-nb.info/gnd/1047605287,,,
68,SZ-AAP/W-AA108.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Elemente der Menschengröße.,,,,,,"Kaßner, Rudolf",13/III. 1912.,,,1912-03-13,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 13. 3. 1912","Kassner, Rudolf",http://d-nb.info/gnd/118560492,Von den Elementen der menschlichen Größe,https://d-nb.info/452331617,http://d-nb.info/gnd/1047605287,,,
69,SZ-AAP/W-AA109.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Keller, Gottfried",,,,,,"Keller, Gottfried",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Keller, Gottfried",http://d-nb.info/gnd/11856109X,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Gottfried Kellers erneuertes Lebensbild""",,
70,SZ-AAP/W-AA109.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gottfried Kellers erneuertes Lebensbild.,,,,,N. Fr Presse,"Keller, Gottfried",30./XII. 1915,,,1915-12-30,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Schwarze Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 30. 12. 1915","Keller, Gottfried; Bächtold, Jakob; Ermatinger, Emil",http://d-nb.info/gnd/11856109X; http://d-nb.info/gnd/118651706; https://d-nb.info/gnd/118682334,"Gottfried Kellers Leben. Briefe und Tagebücher. Auf Grund der Biographie Jakob Baechtolds, dargestellt und hrsg. von Emil Ermatinger, Bd. 1-3, Stuttgart: Cotta Nachfolger, 1913-1915.",https://d-nb.info/1138940801,http://d-nb.info/gnd/1047605287,,,
71,SZ-AAP/W-AA110.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Key, Ellen",,,,,,"Key, Ellen",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Key, Ellen",http://d-nb.info/gnd/11893449X,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Ellen Key""",,
72,SZ-AAP/W-AA110.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Ellen Keys Rahelbuch.,,,,,,"Key, Ellen",,18. 12. 1907,,1907-12-18,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Zeit, Wien, 18.12.1907","Key, Ellen",http://d-nb.info/gnd/11893449X,"Rahel Varnhagen (Biographien bedeutender Frauen, Bd. 7). Aus dem schwedischen Manuskript übersetzt von Mizzi Franzos, Leipzig: G. Haberlandt, 1907.",https://d-nb.info/574296611,http://d-nb.info/gnd/1047605287,,,
73,SZ-AAP/W-AA110.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Drei Frauenschicksale.,,,,,,"Key, Ellen",2. VIII 1908.,,,1908-08-02,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 16,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Zeit, Wien, 2. 12. 1908","Key, Ellen",http://d-nb.info/gnd/11893449X,"Drei Frauenschicksale. Von Ellen Key, Berlin: S. Fischer, 1908.",https://d-nb.info/1220172987,http://d-nb.info/gnd/1047605287,,,
74,SZ-AAP/W-AA111.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Kippenberg,,,,,,Kippenberg,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Kippenberg, Anton",http://d-nb.info/gnd/118723081,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Kippenberg Prof. Dr. Anton""",,
75,SZ-AAP/W-AA111.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Bericht über ein Goethe-Museum. (Der Katalog der Sammlung Kippenberg.),,,,,Neue fr Presse,Kippenberg,3. Febr. 1929,,,1929-02-03,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Bleistift,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, 3. 2. 1929","Kippenberg, Anton",http://d-nb.info/gnd/118723081,Katalog der Sammlung Kippenberg,https://d-nb.info/1132638852,http://d-nb.info/gnd/1047605287,,,
76,SZ-AAP/W-AA111.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Verse aus einem Stammbuch dem Freunde zu seinem sechzigsten Geburtstag am 24. Mai 1934 gewidmet,,,,,,Kippenberg,,,,,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,,"Kippenberg, Anton",http://d-nb.info/gnd/118723081,,,http://d-nb.info/gnd/1047605287,,,
77,SZ-AAP/W-AA112.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kirchweih des guten Essens, Die",,,,,(Dijon),"Kirchweih des guten Essens, Die",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Kirchweih des guten Essens""",,
78,SZ-AAP/W-AA112.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die Kirchweih des guten Essens.,,,,,B. T.,"Kirchweih des guten Essens, Die",24. XI 25.,,,1925-11-24,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Bleistift,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, 24. 11. 1925",,,,,http://d-nb.info/gnd/1047605287,,,
79,SZ-AAP/W-AA113.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kolbenheyer, E. G.",,,,,,"Kolbenheyer, E. G.",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Kolbenheyer, Erwin Guido",http://d-nb.info/gnd/118564803,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Erwin Guido Kolbenheyer""",,
80,SZ-AAP/W-AA113.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Erwin Guido Kolbenheyer: Giordano Bruno,,,,,Beilage zur Allg Ztg.,"Kolbenheyer, E. G.",,20. 2. 1903,,1903-02-20,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Allgemeine Zeitung, München, 20. 2. 1903","Kolbenheyer, Erwin Guido",http://d-nb.info/gnd/118564803,"Giordano Bruno. Die Tragödie der Renaissance, Wien: C. W. Stern, 1903.",,http://d-nb.info/gnd/1047605287,,,
81,SZ-AAP/W-AA113.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Zwei Bücher und eine Landschaft.,,,,,N Fr Presse,"Kolbenheyer, E. G.",3/V. 1918,,,1918-05-03,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,"Violette Tinte, blauer Buntstift",,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 3. 5. 1918","Kolbenheyer, Erwin Guido; Schäfer, Wilhelm",http://d-nb.info/gnd/118564803; http://d-nb.info/gnd/118794868,"Kindheit des Paracelsus, München: G. Müller, 1917; Lebenstag eines Menschenfreundes, München: G. Müller, 1916",https://d-nb.info/361086172; https://d-nb.info/361678398,http://d-nb.info/gnd/1047605287,,,
82,SZ-AAP/W-AA114.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","(Kosor, Josip)",,,,,,"Kosor, Josip",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Kosor, Josip",http://d-nb.info/gnd/118949802,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Josip Kosor""",,
83,SZ-AAP/W-AA114.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Ein kroatischer Dramatiker.,,,,,"""Der Merker"" 1913 Heft I.","Kosor, Josip",1913,Januar 1913,,1913-01,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 19 bis 22,,,,Schwarze Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Der Merker, Wien, Jg. 4, Nr. 1 (erstes Jänner-Heft)","Kosor, Josip",http://d-nb.info/gnd/118949802,"Brand der Leidenschaften, München: Rubin-Verlag, 1911",,http://d-nb.info/gnd/1047605287,,,
84,SZ-AAP/W-AA115.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Das Kreuz,,,,,,Das Kreuz,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
85,SZ-AAP/W-AA115.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Das Kreuz.,,,,,,Das Kreuz,6/I 1906,,,1906-01-06,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 221 bis 224,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Nation, Berlin, 6. 1. 1906",,,,,http://d-nb.info/gnd/1047605287,,,
86,SZ-AAP/W-AA116.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Lammasch, Heinrich",,,,,,"Lammasch, Heinrich",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Lammasch, Heinrich",http://d-nb.info/gnd/118726110,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Heinrich Lammasch""",,
87,SZ-AAP/W-AA116.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Heinrich Lammasch.,,,,,Neue Zurcher Ztg,"Lammasch, Heinrich",29. X. 1918.,,,1918-10-29,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Zürich,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Zürcher Zeitung, Zürich, 29. 10. 1918","Lammasch, Heinrich",http://d-nb.info/gnd/118726110,,,http://d-nb.info/gnd/1047605287,,,
88,SZ-AAP/W-AA116.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Heinrich Lammaschs Heimgang.,,,,,Berl. Tageblatt,"Lammasch, Heinrich",20. I. 1920,,,1920-01-20,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 20. 1. 1920","Lammasch, Heinrich",http://d-nb.info/gnd/118726110,,,http://d-nb.info/gnd/1047605287,,,
89,SZ-AAP/W-AA117.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Land ohne Patriotismus, Das",,,,,,"Land ohne Patriotismus, Das",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, blauer Buntstift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Land""",,
90,SZ-AAP/W-AA117.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,"Stefan Zweig, Unbekannt",Das Land ohne Patriotismus,,,,,Correctur erbeten. Stefan Zweig Wien VIII. Kochgasse 8,"Land ohne Patriotismus, Das",,1917,,1917,ger,"Typoskript, 7 Blatt, korrigiert",,Seite 1 bis 7,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,,,,,http://d-nb.info/gnd/1047605287,,,
91,SZ-AAP/W-AA118.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Landauer, Gustav",,,,,,"Landauer, Gustav",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Landauer, Gustav",http://d-nb.info/gnd/118569074,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Die Entwertung der Idee""",,
92,SZ-AAP/W-AA118.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Gustav Landauers ""Skahespeare"".",,,,,,"Landauer, Gustav",,19. 7. 1921,,1921-07-19,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Frankfurt,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Frankfurter Zeitung, Frankfurt, 19. 7. 1921","Landauer, Gustav",http://d-nb.info/gnd/118569074,"Shakespeare : Dargestellt in Vorträgen. Hrsg. von Martin Buber, Bd. 1 und 2, Frankfurt a. M.: Rütten & Loening, 1920",https://d-nb.info/560662157,http://d-nb.info/gnd/1047605287,,,
93,SZ-AAP/W-AA118.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Le Shakespeare de Gustave Landauer,,,,,,"Landauer, Gustav",Avril 1921,,,1921-04,frz,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Brüssel,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"L'Art Libre, Brüssel, Jg. 3, Nr. 4 (April 1921)","Landauer, Gustav",http://d-nb.info/gnd/118569074,"Shakespeare : Dargestellt in Vorträgen. Hrsg. von Martin Buber, Bd. 1 und 2, Frankfurt a. M.: Rütten & Loening, 1920",https://d-nb.info/560662157,http://d-nb.info/gnd/1047605287,,,
94,SZ-AAP/W-AA119.0,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,"Alter Anfang für eine Legende ""Mitleiden""",,,,,Nur für mich verwertbar,Legende,,,,,ger,"Manuskript, 1 Blatt",,,,Briefkuvert,,"Violette Tinte, roter Buntstift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
95,SZ-AAP/W-AA119.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,,Mitleiden,,,,,Legende,,,,,ger,"Manuskript, 7 Blatt",,,,,,Bleistift,,,Archiv Atrium Press,Ankauf Christie's London 2014,Manuskripte,Manuscripts,,,,,,http://d-nb.info/gnd/1047605287,,,
96,SZ-AAP/W-AA120.0,Unbekannt,,Rieger Erwin; Unbekannt,http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Lemonnier, Camille",,,,,,"Lemonnier, Camille",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Lemonnier, Camille",http://d-nb.info/gnd/118779389,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Camille Lemonnier""",,
97,SZ-AAP/W-AA120.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Camille Lemonnier: Les deux consciences.,,,,,Beilage zur Allg Ztg,"Lemonnier, Camille",,8. 3. 1902,,1902-03-08,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Allgemeine Zeitung, München (Beilage), 8. 3. 1902","Lemonnier, Camille",http://d-nb.info/gnd/118779389,"Les deux consciences, Paris: Ollendorff, 1902",,http://d-nb.info/gnd/1047605287,,,
98,SZ-AAP/W-AA120.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Camille Lemonnier: ""Happe-Chair."" - ""Quand j'étais homme.""",,,,,N. Fr Presse.,"Lemonnier, Camille",,30. 8. 1908,,1908-08-30,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 30. 8. 1908","Lemonnier, Camille",http://d-nb.info/gnd/118779389,"Happe-Chair. Quand j'étais homme. Cahiers d'une femme, Paris: Louis Michaud, 1908",,http://d-nb.info/gnd/1047605287,,,
99,SZ-AAP/W-AA120.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Aus den Tagen von Sedan.,,,,,,"Lemonnier, Camille",3/XII.1911,,,1911-12-03,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 37 und 38,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Zeit, Wien, 3. 12. 1911","Lemonnier, Camille",http://d-nb.info/gnd/118779389,"Aus den Tagen von Sedan (Les Charniers), Berlin: Axel Juncker Verlag, 1911",https://d-nb.info/366631373,http://d-nb.info/gnd/1047605287,,,
100,SZ-AAP/W-AA120.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Der eiserne Moloch.,,,,,,"Lemonnier, Camille",18/XII 1910,,,1910-12-18,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 33,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Zeit, Wien, 18. 12. 1910","Lemonnier, Camille",http://d-nb.info/gnd/118779389,"Der eiserne Moloch. Berlin: Axel Juncker Verlag, 1910",https://d-nb.info/99380005X,http://d-nb.info/gnd/1047605287,,,
101,SZ-AAP/W-AA120.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Lemonniers ""L'homme en amour""",,,,,,"Lemonnier, Camille",16/X. 1903,,,1903-10-16,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 407 bis 410,,,,Schwarze Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Magazin für Litteratur, Berlin, 16.10.1903","Lemonnier, Camille",http://d-nb.info/gnd/118779389,"Die Liebe im Menschen, übersetzt von Paul Adler, Leipzig: Magazin-Verlag Jacques Hegner, 1903",,http://d-nb.info/gnd/1047605287,,,
102,SZ-AAP/W-AA120.6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Camille Lemonnier.,,,,,N Fr Presse,"Lemonnier, Camille",,12. 10. 1902,,1902-10-12,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Schwarze Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 12. 10. 1902","Lemonnier, Camille",http://d-nb.info/gnd/118779389,,,http://d-nb.info/gnd/1047605287,,,
103,SZ-AAP/W-AA120.7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,In memoriam Camille Lemonnier.,,,,,ZweigS,"Lemonnier, Camille",29. 8. 1913,,,1913-08-29,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Blauer Buntstift,,Mannheim,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Badische Landes Zeitung, Mannheim, 28. 8. 1913","Lemonnier, Camille",http://d-nb.info/gnd/118779389,,,http://d-nb.info/gnd/1047605287,"Mit angehängter Quellenangabe: Zeitungsausschnittdienst ""Observer"", Wien",,
104,SZ-AAP/W-AA120.8,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Camille Lemonnier †,,,,,Kunstwart 1. Augustheft,"Lemonnier, Camille",,August 1913,,1913-08,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 213 bis 216,,,,Violette Tinte,,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Der Kunstwart, München, August 1913","Lemonnier, Camille",http://d-nb.info/gnd/118779389,,,http://d-nb.info/gnd/1047605287,,,
105,SZ-AAP/W-AA121.0,Unbekannt,,,,Unbekannt,"Leppin, Paul",,,,,(Vorrede zum Gedichtband),"Leppin, Paul",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Leppin, Paul",http://d-nb.info/gnd/118571893,,,http://d-nb.info/gnd/1047605287,,,
106,SZ-AAP/W-AA121.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Vorrede für Paul Leppin,,,,,,"Leppin, Paul",1937,,,1937,ger,"Typoskript, 3 Blatt, korrigiert",,Seite 2 und 3,,,,Blaue Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,"Vorrede zu: Paul Leppin: Helldunkle Strophen, Prag: Werner, 1938","Leppin, Paul",http://d-nb.info/gnd/118571893,"Helldunkle Strophen. Gedichte. Mit einer Einleitung von Stefan Zweig, Prag: Werner, 1938",https://d-nb.info/574871780,http://d-nb.info/gnd/1047605287,,,
107,SZ-AAP/W-AA122.0,Unbekannt,,Unbekannt,,Unbekannt,Liebesbriefe,,,,,,Liebesbriefe,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Hoffmann, Camill",http://d-nb.info/gnd/119361973,"Briefe der Liebe. Dokumente des Herzens aus zwei Jahrhunderten europäischer Kultur. Gesammelt von Camill Hoffmann, Berlin/Leipzig/Wien/Stuttgart: Bong, 1913",https://d-nb.info/580958280,http://d-nb.info/gnd/1047605287,,,
108,SZ-AAP/W-AA122.1,"Zweig, Stefan",,Unbekannt,,Unbekannt,Dokumente des Herzens.,,,,,,Liebesbriefe,20/7. 1913,,,1913-07-20,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 20. 7. 1913 (erstes Beiblatt)","Hoffmann, Camill",http://d-nb.info/gnd/119361973,"Briefe der Liebe. Dokumente des Herzens aus zwei Jahrhunderten europäischer Kultur. Gesammelt von Camill Hoffmann, Berlin/Leipzig/Wien/Stuttgart: Bong, 1913",https://d-nb.info/580958280,http://d-nb.info/gnd/1047605287,,,
109,SZ-AAP/W-AA123.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Die Tragödie eines Gedichts.,,,,,,Lissauer,,1937,,1937,ger,"Typoskript, 8 Blatt, korrigiert",,Seite 2 bis 8,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Lissauer, Ernst",http://d-nb.info/gnd/118780166,,,http://d-nb.info/gnd/1047605287,,,
110,SZ-AAP/W-AA124.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Lob der deutschen Verleger,,,,,,Lob der deutschen Verleger,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Manuskripte,,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Deutsche Verleger""",,
111,SZ-AAP/W-AA124.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Lob der deutschen Verleger.,,,,,Vossische Ztg,Lob der deutschen Verleger,9. XI. 1912,,,1912-11-09,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Vossische Zeitung, Berlin, 9. 11. 1912 (Abendblatt)",,,,,http://d-nb.info/gnd/1047605287,,,
