ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung erschlossen,Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
103,SZ-AAP/W-AA25.0,Unbekannt,,,,Unbekannt,Max Brod,,,,,,"Brod, Max",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Brod, Max",http://d-nb.info/gnd/118515624,,,http://d-nb.info/gnd/1047605287,,,
104,SZ-AAP/W-AA25.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Max Brod,,,,,,"Brod, Max",,20. 2. 1929,20. 2. 1929,1929-02-20,ger,"Zeitungsausschnitt, 9 Blatt","Newspaper clipping, 9 leaves",,,,,Roter Buntstift,Red crayon,Zürich,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Der Lesezirkel, Zürich, 20. Februar 1929, S. 55–59","Brod, Max",http://d-nb.info/gnd/118515624,,,http://d-nb.info/gnd/1047605287,"S. 55–62 in zwei vollständigen Exemplaren vorhanden, einmal zusätzlich S. 63/64","Pages 55-62 in two complete copies, in addition once page 63/64",
105,SZ-AAP/W-AA26.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Buch,,,,,,Buch,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
106,SZ-AAP/W-AA26.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Das Buch als Weltbild,,,,,Recl. Universum,Buch,,4. 10. 1928,4. 10. 1928,1928-10-04,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Bleistift,Pencil,Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Reclams Universum, Leipzig, 4. 10. 1928, S. 7–8",,,,,http://d-nb.info/gnd/1047605287,,,
107,SZ-AAP/W-AA26.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Das Buch unser treuester Freund,,,,,,Buch,März 1929,,,1929-03,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Leipzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Der Bücherfreund, Leipzig, März 1929",,,,,http://d-nb.info/gnd/1047605287,,,
108,SZ-AAP/W-AA26.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Begegnung mit einem Analphabeten.,,,,,,Buch,27. Nov. 1931,,,1931-11-27,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Blauer Buntstift,Blue crayon,Danzig,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Danziger Neueste Nachrichten, Danzig, 27. 11. 1931",,,,,http://d-nb.info/gnd/1047605287,"Angehängt Lieferzettel des Zeitungsausschnittdienstes Adolf Schustermann, Berlin","Attached delivery note of press clipping service Adolf Schustermann, Berlin",
109,SZ-AAP/W-AA26.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Dank an die Bücher,,,,,,Buch,,1925,1925,1925,ger,"Druckfahne, 1 Blatt, korrigiert","Galley proofs, 1 leaf, corrected,",,,,,Bleistift,Pencil,,Archiv Atrium Press,Ankauf Christie's London 2014,Druckfahnen,Galley proofs,,,,,,http://d-nb.info/gnd/1047605287,,,
110,SZ-AAP/W-AA26.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Meingast, Anna",http://d-nb.info/gnd/1080163751,Anna Meingast,Grangerisierte Bücher,,,,,,Buch,,1923,1923,1923,ger,"Typoskriptdurchschlag, 2 Blatt, korrigiert","Typescript (carbon copy), 2 leaves, corrected",II.,II.,,,"Violettes Durchschlagpapier, violette Tinte","Purple carbon paper, purple ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,"Granger, James",http://d-nb.info/gnd/10048641X,,,http://d-nb.info/gnd/1047605287,,,
111,SZ-AAP/W-AA27.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Bureauphobie,,,,,,Bureauphobie,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Autogramme""","Original inscription: ""Autogramme""",
112,SZ-AAP/W-AA27.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Bureauphobie. Brief an einen Arzt.,,,,,N Freie Presse,Bureauphobie,6/III. 1919.,,,1919-03-06,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 6. 3. 1919",,,,,http://d-nb.info/gnd/1047605287,,,
113,SZ-AAP/W-AA28.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Busoni,,,,,,"Busoni, Ferruccio",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Busoni, Ferruccio",http://d-nb.info/gnd/118518011,,,http://d-nb.info/gnd/1047605287,,,
114,SZ-AAP/W-AA28.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Busonis Opernwerk.,,,,,N. Freie Presse,"Busoni, Ferruccio",5. IV 1918,,,1918-04-05,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 5. 4. 1918","Busoni, Ferruccio",http://d-nb.info/gnd/118518011,,,http://d-nb.info/gnd/1047605287,,,
115,SZ-AAP/W-AA29.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Byron,,,,,,"Byron, George Lord",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Byron, George Lord",http://d-nb.info/gnd/118518208,,,http://d-nb.info/gnd/1047605287,,,
116,SZ-AAP/W-AA29.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Meingast, Anna; Unbekannt",http://d-nb.info/gnd/1080163751; ,"Anna Meingast, Unbekannt",Byroniana,,,,,,"Byron, George Lord",,1929,1929,1929,ger,"Typoskriptdurchschlag, 5 Blatt, korrigiert","Typescript (carbon copy), 5 leaves, corrected",2–5,2–5,,,"Violettes Durchschlagpapier, violette Tinte, Bleistift","Purple carbon paper, purple ink, pencil",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,"Byron, George Lord",http://d-nb.info/gnd/118518208,,,http://d-nb.info/gnd/1047605287,,,
117,SZ-AAP/W-AA30.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Cäsar und Napoleon,,,,,,Cäsar und Napoleon,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Brandes, Georg; Caesar, Gaius Iulius; Napoleon I., Kaiser von Frankreich",http://d-nb.info/gnd/118514326; http://d-nb.info/gnd/118518275; http://d-nb.info/gnd/118586408,,,http://d-nb.info/gnd/1047605287,,,
118,SZ-AAP/W-AA30.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Meingast, Anna",http://d-nb.info/gnd/1080163751,Anna Meingast,Cäsar und Napoleon.,,,,,Erschienen N.Rundschau Mai 1925,Cäsar und Napoleon,Mai 1925,,,1925-05,ger,"Typoskriptdurchschlag, 4 Blatt, korrigiert","Typescript (carbon copy), 4 leaves, corrected",,,,,"Violettes Durchschlagpapier, violette Tinte","Purple carbon paper, purple ink",Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,"Brandes, Georg; Caesar, Gaius Iulius; Napoleon I., Kaiser von Frankreich",http://d-nb.info/gnd/118514326; http://d-nb.info/gnd/118518275; http://d-nb.info/gnd/118586408,Cajus Julius Caesar,,http://d-nb.info/gnd/1047605287,,,
119,SZ-AAP/W-AA31.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt","Carossa, Hans",,,,,,"Carossa, Hans",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, roter Kugelschreiber","Purple ink, red ballpoint",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Carossa, Hans",http://d-nb.info/gnd/118519182,,,http://d-nb.info/gnd/1047605287,,,
120,SZ-AAP/W-AA31.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Hans Carossa. Brief an einen französischen Freund.,,,,,,"Carossa, Hans",8. November 1928,,,1928-11-08,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Berliner Tageblatt, Berlin, 8. 11. 1928","Carossa, Hans",http://d-nb.info/gnd/118519182,,,http://d-nb.info/gnd/1047605287,,,
121,SZ-AAP/W-AA32.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt","Cenci, Legende und Wahrheit der Beatrice",,,,,,Legende und Wahrheit der Beatrice Cenci,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, roter Kugelschreiber","Purple ink, red ballpoint",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Cenci, Beatrice",http://d-nb.info/gnd/118667645,,,http://d-nb.info/gnd/1047605287,,,
122,SZ-AAP/W-AA33.0,Unbekannt,,"Rieger, Erwin; Friedenthal, Richard",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/118535579; ,"Erwin Rieger, Richard Friedenthal, Unbekannt","Chartres, Die Kathedrale von",,,,,,Die Kathedrale von Chartres,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, roter Kugelschreiber","Purple ink, red ballpoint",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
123,SZ-AAP/W-AA34.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Coster,,,,,,"Coster, Charles de",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Coster, Charles de",http://d-nb.info/gnd/118677055,,,http://d-nb.info/gnd/1047605287,,,
124,SZ-AAP/W-AA34.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Eulenspiegel Redivivus,,,,,Münchner Neueste Nachrichten,"Coster, Charles de",28/XII.,29. 12. 1909,29. 12. 1909,1909-12-29,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Münchner Neueste Nachrichten, München, 29. 12. 1909","Coster, Charles de",http://d-nb.info/gnd/118677055,"Die Geschichte von Ulenspiegel und Lamme Goedzak und ihren heldenmäßigen, fröhlichen und glorreichen Abenteuern im Lande Flandern und anderwärts",,http://d-nb.info/gnd/1047605287,,,
125,SZ-AAP/W-AA35.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Dante,,,,,,Dante Alighieri,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,Dante Alighieri,http://d-nb.info/gnd/118523708,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Dostojewski | Lebenserinnerungen der Gattin""","Original inscription: ""Dostojewski | Lebenserinnerungen der Gattin""",
126,SZ-AAP/W-AA36.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Dehmel,,,,,,"Dehmel, Richard",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Dehmel, Richard",http://d-nb.info/gnd/118679236,,,http://d-nb.info/gnd/1047605287,,,
127,SZ-AAP/W-AA36.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Richard Dehmels ""Michel Michael"".",,,,,,"Dehmel, Richard",,,,,ger,"Zeitungsausschnitt, 3 Blatt","Newspaper clipping, 3 leaves",,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Merker, Wien, 2. 3. 1912, S. 212–215","Dehmel, Richard",http://d-nb.info/gnd/118679236,Michel Michael : Komödie in fünf Akten,,http://d-nb.info/gnd/1047605287,,,
128,SZ-AAP/W-AA36.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"""Zwei Menschen.""",,,,,N. Fr Presse,"Dehmel, Richard",28. II. 1904.,,,1904-02-28,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 28. 2. 1904","Dehmel, Richard",http://d-nb.info/gnd/118679236,Zwei Menschen : Roman in Romanzen,,http://d-nb.info/gnd/1047605287,,,
129,SZ-AAP/W-AA36.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,Richard Friedenthal,Leutnant Dehmels Kriegstagebuch.,,,,,,"Dehmel, Richard",1919,1917,1917,1917,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Roter Kugelschreiber,Red ballpoint,,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,,"Dehmel, Richard",http://d-nb.info/gnd/118679236,Zwischen Volk und Menschheit : Kriegstagebuch,,http://d-nb.info/gnd/1047605287,Quelle des Abdrucks unbekannt,Source of print unknown,
130,SZ-AAP/W-AA37.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Denkmäler des Theaters,,,,,,Die Denkmäler des Theaters,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Gregor, Joseph",http://d-nb.info/gnd/118697455,,,http://d-nb.info/gnd/1047605287,,,
131,SZ-AAP/W-AA37.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die Denkmäler des Theaters.,,,,,N. W. Tagebl.,Die Denkmäler des Theaters,9. April 25,,,1925-04-09,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Bleistift,Pencil,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neues Wiener Tagblatt, 9. 4. 1925","Gregor, Joseph",http://d-nb.info/gnd/118697455,Denkmäler des Theaters,,http://d-nb.info/gnd/1047605287,,,
132,SZ-AAP/W-AA38.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Deutschland, Ein Wort von",,,,,,Ein Wort von Deutschland,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
133,SZ-AAP/W-AA38.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Ein Wort von Deutschland.,,,,,,Ein Wort von Deutschland,6. AUG 1914,,,1914-08-06,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,"Roter Buntstift, blauer Buntstift","Red crayon, blue crayon",Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 6. 8. 1914",,,,,http://d-nb.info/gnd/1047605287,"Angehängt Lieferzettel des Zeitungsausschnittdienstes ""Observer"", Wien","Attached delivery note of press clipping service ""Observer"", Vienna",
134,SZ-AAP/W-AA39.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Dichter der Aufrichtigkeit, Ein",,,,,,Ein Dichter der Aufrichtigkeit,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Jaeger, Hans Henrik",http://d-nb.info/gnd/118121227,Kranke Liebe,,http://d-nb.info/gnd/1047605287,"Zusätzliche Aufschrift: ""Vom österreichischen Dichter""","Additional inscription: ""Vom österreichischen Dichter""",
135,SZ-AAP/W-AA39.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Ein Dichter der Aufrichtigkeit.,,,,,,Ein Dichter der Aufrichtigkeit,17. APRIL 1921,,,1921-04-17,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Berliner Tageblatt, Berlin, 17. 4. 1921","Jaeger, Hans Henrik",http://d-nb.info/gnd/118121227,,,http://d-nb.info/gnd/1047605287,,,
136,SZ-AAP/W-AA39.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Vom ""österreichischen"" Dichter | Ein Wort zur Zeit",,,,,L. Echo,Ein Dichter der Aufrichtigkeit,1/XII. 14.,,,1914-12-01,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Das literarische Echo, Berlin, 1. 12. 1914, Spalte 263–265",,,,,http://d-nb.info/gnd/1047605287,,,
137,SZ-AAP/W-AA40.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Dostojewski,,,,,,"Dostojewski, Fjodor Michailowitsch",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Dostojewski, Fjodor Michailowitsch",https://d-nb.info/gnd/118527053,,,http://d-nb.info/gnd/1047605287,,,
138,SZ-AAP/W-AA40.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Dostojewski im Bildnis seiner Tochter.,,,,,Frankfurter Zeitung,"Dostojewski, Fjodor Michailowitsch",17. Oktober 1920,,,1920-10-17,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Bleistift,Pencil,Frankfurt a. M. ,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Frankfurter Zeitung, Frankfurt a. M., 17. 10 1920","Dostojewski, Fjodor Michailowitsch; Dostoevskaja, Ljubovʹ Fedorovna",https://d-nb.info/gnd/118527053; http://d-nb.info/gnd/102006253,Dostojewski : geschildert von seiner Tochter A. Dostojewski,,http://d-nb.info/gnd/1047605287,,,
139,SZ-AAP/W-AA40.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die Lebenserinnerungen der Gattin Dostojewskis,,,,,D. Literatur,"Dostojewski, Fjodor Michailowitsch",Juliheft 1925,,,1925-07,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Blauer Buntstift,Blue crayon,Stuttgart,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Die Literatur, Stuttgart, Juli 1925, S. 581–583","Dostojewski, Fjodor Michailowitsch; Dostoevskaja, Anna G.",https://d-nb.info/gnd/118527053; http://d-nb.info/gnd/118527045,Die Lebenserinnerungen der Gattin Dostojewskis,,http://d-nb.info/gnd/1047605287,,,
140,SZ-AAP/W-AA40.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Die deutsche Dostojewskiausgabe,,,,,,"Dostojewski, Fjodor Michailowitsch",,März 1918,March 1918,1918-03,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,,,Zürich,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Der Lesezirkel, Zürich, März 1918, S. 118–120","Dostojewski, Fjodor Michailowitsch",https://d-nb.info/gnd/118527053,,,http://d-nb.info/gnd/1047605287,,,
141,SZ-AAP/W-AA40.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Dostojewski 1821–1921.,,,,,,"Dostojewski, Fjodor Michailowitsch",13. November 1921,,,1921-11-13,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Zürich,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Zürcher Zeitung, Zürich, 13. 11. 1921","Dostojewski, Fjodor Michailowitsch",https://d-nb.info/gnd/118527053,,,http://d-nb.info/gnd/1047605287,,,
142,SZ-AAP/W-AA40.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Von Meier-Gräfes Dostojewski,,,,,Die Literatur,"Dostojewski, Fjodor Michailowitsch",Mai 1926,,,1926-05,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Stuttgart,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Die Literatur, Stuttgart, Mai 1926, S. 461–462","Dostojewski, Fjodor Michailowitsch; Meier-Graefe, Julius",https://d-nb.info/gnd/118527053; http://d-nb.info/gnd/118732641,,,http://d-nb.info/gnd/1047605287,,,
143,SZ-AAP/W-AA41.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Drama in Tausendundeine Nacht, Das",,,,,,Das Drama in Tausendundeine Nacht,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
144,SZ-AAP/W-AA41.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Das Drama in Tausendundeine Nacht.,,,,,NF Presse,Das Drama in Tausendundeine Nacht,31/I. 1917,,,1917-01-31,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 31. 1. 1917","Gelber, Adolf",http://d-nb.info/gnd/116520779,Tausend und eine Nacht : der Sinn der Erzählungen der Scheherezade,,http://d-nb.info/gnd/1047605287,,,
145,SZ-AAP/W-AA42.0,"Zweig, Lotte",http://d-nb.info/gnd/116001151,"Friedenthal, Richard",http://d-nb.info/gnd/118535579,"Lotte Zweig, Richard Friedenthal ",Drinkwater,,,,,,"Drinkwater, John",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, roter Kugelschreiber","Purple ink, red ballpoint",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Drinkwater, John",http://d-nb.info/gnd/118672452,,,http://d-nb.info/gnd/1047605287,,,
146,SZ-AAP/W-AA42.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Abschied von John Drinkwater,,,,,,"Drinkwater, John",31. März 1937,,,1937-03-31,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,,,Basel,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"National-Zeitung, Basel, 31. 3. 1937, S. 1–2","Drinkwater, John",http://d-nb.info/gnd/118672452,,,http://d-nb.info/gnd/1047605287,,,
147,SZ-AAP/W-AA42.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Schattenspiel des Lebens.,,,,,,"Drinkwater, John",28. März 1937,,,1937-03-28,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neues Wiener Journal, Wien, 28. 3. 1937","Drinkwater, John",http://d-nb.info/gnd/118672452,,,http://d-nb.info/gnd/1047605287,Zwei Exemplare des Artikels,Two copies of the Essay,
148,SZ-AAP/W-AA43.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Ehrenstein, Albert",,,,,,"Ehrenstein, Albert",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Ehrenstein, Albert",http://d-nb.info/gnd/118688227,,,http://d-nb.info/gnd/1047605287,,,
