PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,"Osawa, Akira",http://d-nb.info/gnd/140733671,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1. Juli 1921,1. Juli 1921,,,1921-07-01,,,,,GER,"Ansichtspostkarte: ""Assisi – Panorama dalla Rocca minore""","Picture postcard: ""Assisi – Panorama dalla Rocca minore""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.132,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Mit Bleistift über Empfängeradresse ""Werner Hermann"" und dessen Adresse hinzugefügt. Möglicherweise ein weiterer, nicht identifizierter Absender."
,,"Paul, Cedar",http://d-nb.info/gnd/1038039797,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. VI. 30,7. VI. 30,,,1930-06-07,,,,,ENG,"Ansichtspostkarte: ""Remparts d'Aigues-Mortes | Côte sud.""","Picture postcard: ""Remparts d'Aigues-Mortes | Côte sud.""",blauer Farbstift,blue crayon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.133,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Auf der Vorderseite ist als Ortsangabe ""D'Aigues mortes"" aufgeschrieben worden."
,,"Paungarten, Ferdinand von",http://d-nb.info/gnd/1231407271,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26. Februar 1907.,26. Februar 1907.,,,1907-02-26,,,,,GER,"Ansichtspostkarte: ""München Universität""","Picture postcard: ""München Universität""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.134,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absender schreibt auf Vorderseite weiter (Absenderadresse).
,,"Paungarten, Ferdinand von",http://d-nb.info/gnd/1231407271,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,16. VIII. 1907.,16. VIII. 1907.,,,1907-08-16,,,,,GER,"Ansichtspostkarte: ""Haseldorf i. Holstein | Herrenhaus""","Picture postcard: ""Haseldorf i. Holstein | Herrenhaus""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.135,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Empfängeradresse mit Bleistift durchgestrichen und neue dazu geschrieben; auf Vorderseite Datum ergänzt.
,,"Paungarten, Ferdinand von",http://d-nb.info/gnd/1231407271,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,2. XI. 1908.,2. XI. 1908.,,,1908-11-02,,,,,GER,"Ansichtspostkarte: ""Graz. Karl Ludwig-Ring.""","Picture postcard: ""Graz. Karl Ludwig-Ring.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.136,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Auf Vorderseite Datum und Absenderadresse ergänzt.
,,"Petnikow, Gregory",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. 4. 29,24. 4. 29,,,1929-04-24,,,,,GER,"Ansichtspostkarte: ""ЛЕНИНГРАД. Вид на здание Главного Адмиралтейства и Исаакиевский собор с Дворца Искусств."" [Leningrad. Blick vom Palast der Künste auf das Hauptgebäude der Admiralität und die St. Isaakskathedrale]","Picture postcard: ""ЛЕНИНГРАД. Вид на здание Главного Адмиралтейства и Исаакиевский собор с Дворца Искусств."" [Leningrad. View from the Palace of Arts to the main building of the Admiralty and St Isaac's Cathedral]",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.137,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Piérard, Louis",http://d-nb.info/gnd/119011425,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1908-09-08,8 SEPT 08,,,,FRE,"Ansichtspostkarte: ""Frameries. | L'Eglise. Un coin de la place.""","Picture postcard: ""Frameries. | L'Eglise. Un coin de la place.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.293,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Vorderseite: Frameries. L'Eglise. Karte ist irrtümlich adressiert an ""Albert Schweig""."
,,"Pins, Nelly",http://d-nb.info/gnd/141834404,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1914-06-16,16. VI 1914,,,,GER,"Ansichtspostkarte: ""Bruxelles – L'Eglise N.-D- du Sablon""","Picture postcard: ""Bruxelles – L'Eglise N.-D- du Sablon""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.139,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Poststempel teilweise über Text; Absenderin schreibt vorne weiter.
,,"Pinthus, Kurt",http://d-nb.info/gnd/118742647,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,15. IV. 14,15. IV. 14,,,1914-04-15,,,,,GER,"Ansichtspostkarte: ""Garda-See | Malcesine bei Sonnenuntergang""","Picture postcard: ""Garda-See | Malcesine bei Sonnenuntergang""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.140,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Paris, Hotel Beaujolais, 15 rue de Beaujolais",Briefmarke rechts oben fehlt.
,,"Pollak, Felix",http://d-nb.info/gnd/120905396,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1903-09-12,12 9 3,,,,GER,"Ansichtspostkarte: ""Eger – Schmeykalstr.""","Picture postcard: ""Eger – Schmeykalstr.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.141,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Kurzer Vermerk auf Vorderseite rechts unten.
,,"Pollak, Felix",http://d-nb.info/gnd/120905396,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5. VII. 05.,5. VII. 05.,,,1905-07-05,,,,,GER,"Ansichtspostkarte: ""Gruss aus Thüringen. Friedrichroda. Gesamtansicht.""","Picture postcard: ""Gruss aus Thüringen. Friedrichroda. Gesamtansicht.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.142,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Gruß auf der Vorderseite.
,,"Poncheville, André Mabille de",http://d-nb.info/gnd/1055230815,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,9 mai 1913,9 mai 1913,,,1913-05-09,,,,,FRE,"Ansichtspostkarte: ""Montmartre – Le Lapin Agile en hiver – Coin Saint-Vincent""","Picture postcard: ""Montmartre – Le Lapin Agile en hiver – Coin Saint-Vincent""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.143,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",
,,"Reichner, Herbert",http://d-nb.info/gnd/116402873,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,24. 3. 30.,24. 3. 30.,,,1930-03-24,,,,,GER,"Ansichtspostkarte: ""Pompei – 18 – Casa degli Amorini d'Oro""","Picture postcard: ""Pompei – 18 – Casa degli Amorini d'Oro""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.151,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Reichner, Edith",,,,"Salzburg, Kapuzinerberg 5",
,,"Reinhart, Hans",http://d-nb.info/gnd/119006510,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31. Aug 20,31. Aug 20,,,1920-08-31,,,,,GER,"Ansichtspostkarte: ""Altfinstermünz, bei Alpenhotel und Pension Hochfinstermünz am Finstermünzpass""","Picture postcard: ""Altfinstermünz, bei Alpenhotel und Pension Hochfinstermünz am Finstermünzpass""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.152,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Reitter, Eugenie",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. April 26.,4. April 26.,,,1926-04-04,,,,,GER,"Ansichtspostkarte: ""Schwefelbad Allersdorf, Nordm. Heilanstalt Tetzal.""","Picture postcard: ""Schwefelbad Allersdorf, Nordm. Heilanstalt Tetzal.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.153,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Poststempel mit Datum unleserlich; Absenderin schreibt mit Bleistift, der bereits etwas verwischt ist; braune Ränder."
,,"Reitter, Eugenie",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23./12. 31,23./12. 31,,,1931-12-23,,,,,GER,"Ansichtspostkarte: ""Fröhliche Weihnachten! Brno v zimě. Brünn im Winter.""","Picture postcard: ""Fröhliche Weihnachten! Brno v zimě. Brünn im Winter.""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.154,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Postkarte ist in der Mitte zwei Mal mit einem Streifen geklebt.
,,"Reitter, Eugenie",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,23. 4. 32.,23. 4. 32.,,,1932-04-23,,,,,GER,"Ansichtspostkarte: ""Krems a. d. Donau Kanzelhof""","Picture postcard: ""Krems a. d. Donau Kanzelhof""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.155,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte ist in der Mitte einmal geklebt; Signatur nicht gänzlich erkennbar.
,,"Reitter, Eugenie",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. 4. 33,14. 4. 33,,,1933-04-14,,,,,GER,"Ansichtspostkarte: ""Wien , Eroicagasse, Beethovenhaus""","Picture postcard: ""Wien , Eroicagasse, Beethovenhaus""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.156,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Reitter, Eugenie",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29. II. 34,29. II. 34,,,1934-02-29,,,,,GER,"Ansichtspostkarte: ""Schwefelbad Gr. Allersdorf | Schloss.""","Picture postcard: ""Schwefelbad Gr. Allersdorf | Schloss.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.157,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Reuschel, Reinhold",http://d-nb.info/gnd/116453028,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,22. VI. 29.,22. VI. 29.,,,1929-06-22,,,,,GER,"Ansichtspostkarte: ""Linienschiff 'Elsass'""","Picture postcard: ""Linienschiff 'Elsass'""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.158,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Stempel mit Adresse des Absenders, ovaler durchgestrichener Kreis über Empfängeradresse."
,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31. VIII. 21.,31. VIII. 21.,,,1921-08-31,,,,,GER,"Ansichtspostkarte: ""Budapest. Alagut-Tunnel.""","Picture postcard: ""Budapest. Alagut-Tunnel.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.159,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5. IX. 29,5. IX. 29,,,1929-09-05,,,,,GER,"Ansichtspostkarte: ""La douce France | Marseille | Une Rue du Vieux Quartier""","Picture postcard: ""La douce France |Marseille | Une Rue du Vieux Quartier""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.160,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Karte ist in der Mitte geklebt.
,,"Ring, Barbra",http://d-nb.info/gnd/119361043,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1923-06-11,11 VI 23,,,,GER; ENG,"Ansichtspostkarte: ""Utsigt fra Frognersaeterens Hovedrestaurant""","Picture postcard: ""Utsigt fra Frognersaeterens Hovedrestaurant""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.227,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Ould, Hermon; Scott,? ",http://d-nb.info/gnd/117190829; ,,,"Salzburg, Kapuzinerberg 5","Datum vom Poststempel; Beschriftung Bild Vorderseite: ""Utsigt fra Frognersaeterens Hovedrestaurant""."
,,"Roessler, Arthur",http://d-nb.info/gnd/118993070,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,17. 7. 19.,17. 7. 19.,,,1919-07-17,,,,,GER,"Ansichtspostkarte: ""Bückeburg Schlosstor""","Picture postcard: ""Bückeburg Schlosstor""",blau-schwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.161,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Eine Briefmarke fehlt.
,,"Rosenkranz, Hans",http://d-nb.info/gnd/1199135119,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. II. 24,20. II. 24,,,1924-02-20,,,,,GER,"Ansichtspostkarte: ""Georgenswalde / Vor dem Gewitter""","Picture postcard: ""Georgenswalde / Vor dem Gewitter""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.162,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"J., A.",,,,"Salzburg, Kapuzinerberg 5",Zweiter Absender: A.J.?
,,"Rosenthal, Friedrich",http://d-nb.info/gnd/116625651,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1913-07-27,27. VII 1913,,,,GER,"Ansichtspostkarte: ""Hotel Pension Hertenstein""","Picture postcard: ""Hotel Pension Hertenstein""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.164,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Lissauer, Ernst; Frank, Rudolf",http://d-nb.info/gnd/118780166;,,,"Wien, Kochgasse 8","Zweites Grußwort von nicht identifiziertem Unterzeichner, dritte Unterschrift mit Grußwort: Rudolf Frank."
,,"Roth, Cecil",http://d-nb.info/gnd/119339714,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. VIII. 34.,3. VIII. 34.,,,1934-08-03,,,,,ENG,"Ansichtspostkarte: ""Firenze – Loggia dei Lanzi.""","Picture postcard: ""Firenze – Loggia dei Lanzi.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.165,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Poststempel ist einen Tag später am 4.8.1934.
,,Rottauscher,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,2. VIII. 21.,2. VIII. 21.,,,1921-08-02,,,,,GER,"Ansichtspostkarte: ""Mauterndorf i. Lungau. Schloss.""","Picture postcard: ""Mauterndorf i. Lungau. Schloss.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.281,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,Vorname unleserlich,first name illegible,"Salzburg, Kapuzinerberg 5",Vorderseite: Mauterndorf i. Lungau. Schloss.
,,"Rotter, Kurt Erich",http://d-nb.info/gnd/118603337,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-05-29,29. V. 31,,,,GER,"Ansichtspostkarte: ""Hallein – Zellulosefabrik""","Picture postcard: ""Hallein – Zellulosefabrik""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.166,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Salus, Hugo",http://d-nb.info/gnd/119222140,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. 5. 1930,3. 5. 1930,,,1930-05-03,,,,,GER,"Ansichtspostkarte: ""Prag. Ein Teil der Karlsbrücke mit Hradschin.""","Picture postcard: ""Prag. Ein Teil der Karlsbrücke mit Hradschin.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.207,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Unterschrift möglicherweise ""Julius"". Beschriftung Bild Vorderseite: ""Prag. Ein Teil der Karlsbrücke mit Hradschin""."
,,"Sander, Ernst",http://d-nb.info/gnd/118605372,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,6 X 26,6 X 26,,,1926-10-06,,,,,GER,"Ansichtspostkarte: ""Schloß Nütschau bei Oldesloe.""","Picture postcard: ""Schloß Nütschau bei Oldesloe.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.167,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Sander, Ernst",http://d-nb.info/gnd/118605372,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,21. IX. 27.,21. IX. 27.,,,1927-09-21,,,,,GER,"Ansichtspostkarte: ""Lago Maggiore Brissago e le Isole""","Picture postcard: ""Lago Maggiore Brissago e le Isole""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.215,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Datum vom Poststempel entnommen.  Vorderseite: Lago Maggiore Brissago e le Isole
,,"Sarnetzki, Dietmar Heinrich",http://d-nb.info/gnd/116807334,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-12-13,31 12 31,,,,GER,"Ansichtspostkarte: ""Köln, Luftbild""","Picture postcard: ""Köln, Luftbild""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.168,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Unterzeichnet mit ""Sarnetzki und Frau."""
,,"Schaffner, Gerta",,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1937-03-01,1937 1 MAR,,,,GER,"Ansichtspostkarte: ""Idolos – Templo de Quetzalcoatl – Teotihuacan | Mexico.""","Picture postcard: ""Idolos – Templo de Quetzalcoatl – Teotihuacan | Mexico.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.169,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Schellenberg, Ernst Ludwig",http://d-nb.info/gnd/117215775,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,12. Juni 1926,12. Juni 1926,,,1926-06-12,,,,,GER,"Ansichtspostkarte: ""Elgersburg mit Carl Eduard-Warte, 810 m.""","Picture postcard: ""Elgersburg mit Carl Eduard-Warte, 810 m.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.170,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Text mit Bleistiftstrich durchgestrichen.
,,"Scheller, Will",http://d-nb.info/gnd/117216410,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20. V. 1927,20. V. 1927,,,1927-05-20,,,,,GER,"Ansichtspostkarte: ""Cassel. Französ. Kirche mit Landgraf-Carl-Denkmal.""","Picture postcard: ""Cassel. Französ. Kirche mit Landgraf-Carl-Denkmal.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.171,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Scheller, Will",http://d-nb.info/gnd/117216410,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,5. VI. 33.,5. VI. 33.,,,1933-06-05,,,,,GER,"Ansichtspostkarte: ""Bad Heilbrunn | Jodquelle""","Picture postcard: ""Bad Heilbrunn | Jodquelle""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.172,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,"Scheller, Will",http://d-nb.info/gnd/117216410,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,27. VI. 33,27. VI. 33,,,1933-06-27,,,,,GER,"Ansichtspostkarte: ""Bad Heilbrunn | Der Postillon von Bad Heilbrunn""","Picture postcard: ""Bad Heilbrunn | Der Postillon von Bad Heilbrunn""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.173,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Der Absender hat bei seinem Namen das Kürzel WS verwendet.
